iter	Logloss
151	0.4249652417
152	0.4246781092
153	0.4243113395
154	0.4240362427
155	0.4237917086
156	0.4233019233
157	0.4228396544
158	0.4224435729
159	0.4221309114
160	0.4217929834
161	0.4214781816
162	0.4211498789
163	0.4209924465
164	0.4206579166
165	0.4204520664
166	0.4200631838
167	0.4197547315
168	0.4195251094
169	0.419274147
170	0.4189947246
171	0.4186622184
172	0.4184254299
173	0.4180988324
174	0.4178646522
175	0.4174219646
176	0.4171811457
177	0.4168426854
178	0.4166719739
179	0.4163027771
180	0.4161749008
181	0.4158875711
182	0.4155027955
183	0.415271436
184	0.4149557236
185	0.4148682531
186	0.4146699425
187	0.4144271264
188	0.4142533762
189	0.4140433851
190	0.4138493567
191	0.4135894453
192	0.413307357
193	0.4130730821
194	0.4127276827
195	0.4124876606
196	0.412298715
197	0.4120534892
198	0.4119113079
199	0.4117040102
200	0.4115500904
201	0.411227362
202	0.4110476352
203	0.4107989275
204	0.4106651656
205	0.4103901306
206	0.4101484208
207	0.4098951786
208	0.4096360184
209	0.4093971129
210	0.4092176184
211	0.4090150156
212	0.4087885318
213	0.4085802248
214	0.4082589555
215	0.4079986388
216	0.4077622455
217	0.4075375365
218	0.4074097149
219	0.407118944
220	0.4069000835
221	0.4067391991
222	0.4065689705
223	0.4064327734
224	0.4062590843
225	0.4060485083
226	0.4058930959
227	0.4057103595
228	0.4054474279
229	0.4051123592
230	0.4049304357
231	0.4047001896
232	0.4045018655
233	0.4042773593
234	0.404150126
235	0.4039042409
236	0.4036832473
237	0.4034796786
238	0.4032424801
239	0.4030508022
240	0.4028057925
241	0.4025964349
242	0.4023594685
243	0.402132202
244	0.4018993548
245	0.4017213327
246	0.401591041
247	0.4013785917
248	0.4012278513
249	0.4010207993
250	0.4009421929
251	0.4007770862
252	0.4006846764
253	0.400601812
254	0.4003315824
255	0.4000620227
256	0.399836222
257	0.3996067168
258	0.399521189
259	0.3992952255
260	0.3992444648
261	0.399094024
262	0.3989201949
263	0.3986808582
264	0.3984909879
265	0.3983004856
266	0.3980648223
267	0.3978345191
268	0.3975783924
269	0.3973960069
270	0.3971608134
271	0.3970185246
272	0.3968040837
273	0.3965810216
274	0.3963280547
275	0.3961385656
276	0.3959615869
277	0.3957676889
278	0.3955957757
279	0.395366961
280	0.3952205752
281	0.3950335315
282	0.3948481822
283	0.3946451014
284	0.3944002533
285	0.3941218294
286	0.3939027133
287	0.3936912072
288	0.3934878542
289	0.3932710399
290	0.3930880722
291	0.392902636
292	0.3927097443
293	0.392568723
294	0.3924256043
295	0.3922068714
296	0.3919611292
297	0.3917386022
298	0.3915018594
299	0.3913085309
300	0.3911599616
301	0.3909478839
302	0.3907170631
303	0.390567496
304	0.390368161
305	0.3901863162
306	0.3900243179
307	0.3898141778
308	0.389674366
309	0.3895421928
310	0.3893531648
311	0.3891729371
312	0.3890461334
313	0.3888323237
314	0.3886952532
315	0.3884064776
316	0.3881856298
317	0.387970878
318	0.3878086883
319	0.3875880815
320	0.3873288366
321	0.3872181126
322	0.3868912808
323	0.3866889442
324	0.3865641992
325	0.3863286723
326	0.3861395815
327	0.3859780229
328	0.385772621
329	0.3856343336
330	0.3854808854
331	0.3852355605
332	0.3851491053
333	0.3849862773
334	0.3848037954
335	0.3846417707
336	0.3844391993
337	0.3842505017
338	0.3841201625
339	0.3839833947
340	0.3837560248
341	0.3836350746
342	0.3834556041
343	0.3833499597
344	0.3831244906
345	0.3829828229
346	0.3828601337
347	0.3827626326
348	0.3825487658
349	0.3824110384
350	0.3822023038
351	0.3820552051
352	0.3818528841
353	0.381628278
354	0.3814792503
355	0.3813521542
356	0.3811699731
357	0.3809033732
358	0.3807471184
359	0.3805084519
360	0.3802781538
361	0.3800913698
362	0.3798761915
363	0.3796984145
364	0.3795474356
365	0.3794085215
366	0.3792344836
367	0.3790645254
368	0.3788809499
369	0.3787083119
370	0.3785061334
371	0.3784020851
372	0.3782244839
373	0.3781190599
374	0.3778901748
375	0.3776007533
376	0.3774401852
377	0.3773154553
378	0.3771792573
379	0.376964405
380	0.3767146135
381	0.3764718714
382	0.3762706929
383	0.3761213466
384	0.3759016275
385	0.3757102306
386	0.3755452902
387	0.3753525577
388	0.3751303477
389	0.3750136053
390	0.3747789109
391	0.3745209235
392	0.374348868
393	0.3742388192
394	0.3740365539
395	0.3739207353
396	0.3737680472
397	0.3736496282
398	0.3734396543
399	0.3732902041
400	0.3730851886
401	0.3728141115
402	0.3725212196
403	0.3722784314
404	0.3720708743
405	0.3718654564
406	0.3716729666
407	0.3714574056
408	0.3712770104
409	0.3711349753
410	0.370865954
411	0.3706422968
412	0.3704160276
413	0.3702242421
414	0.3700196192
415	0.3698284077
416	0.3695974323
417	0.3693821494
418	0.3691904144
419	0.3688961232
420	0.3687851834
421	0.3686472692
422	0.3684797936
423	0.3682256279
424	0.3679630402
425	0.3678192032
426	0.3676458276
427	0.3673788873
428	0.36718778
429	0.3669760901
430	0.3667849443
431	0.3665640631
432	0.36642663
433	0.3662600493
434	0.3660306819
435	0.3659188361
436	0.3657638306
437	0.3654767761
438	0.3652908492
439	0.3651025937
440	0.3649503209
441	0.3648600324
442	0.3646749725
443	0.3644290004
444	0.3642562385
445	0.3641474398
446	0.3639623264
447	0.363766084
448	0.3636064463
449	0.3633122167
450	0.3632021542
451	0.3630251925
452	0.3627084477
453	0.3624691889
454	0.3622104533
455	0.3619639426
456	0.3618472661
457	0.3616036933
458	0.3615001969
459	0.3613129694
460	0.3612069885
461	0.3610335666
462	0.3608103286
463	0.3605683261
464	0.3603901081
465	0.3601677999
466	0.3599365193
467	0.3597537083
468	0.359572804
469	0.3594022757
470	0.3591828061
471	0.3589653074
472	0.3586436223
473	0.3583867795
474	0.3582038733
475	0.3579817575
476	0.3577890318
477	0.3576191475
478	0.3573976966
479	0.3571354568
480	0.3568573054
481	0.3567416435
482	0.3565320972
483	0.3562519506
484	0.3560530294
485	0.3559681082
486	0.3557664331
487	0.3555693695
488	0.3554016043
489	0.3552134113
490	0.3550385564
491	0.3548796971
492	0.3547066727
493	0.354394136
494	0.3542058248
495	0.3540097201
496	0.3538340073
497	0.3537060042
498	0.35349371
499	0.353202542
500	0.3529246204
501	0.3527325741
502	0.3525514136
503	0.3523314682
504	0.3521679468
505	0.3518949768
506	0.3517376493
507	0.3515788064
508	0.3514283145
509	0.3511768782
510	0.3509166799
511	0.3506617167
512	0.3504173859
513	0.3503099346
514	0.3501669644
515	0.3500000781
516	0.3498111164
517	0.3496597185
518	0.349429803
519	0.3492208514
520	0.3490459751
521	0.348866345
522	0.3486540406
523	0.3484387242
524	0.3482481835
525	0.348110245
526	0.3479623502
527	0.3476879137
528	0.3474581669
529	0.3473445432
530	0.3471908393
531	0.3469916378
532	0.3467927185
533	0.3466605698
534	0.3465142864
535	0.3463079041
536	0.3460644367
537	0.3459125474
538	0.3456521069
539	0.3454467544
540	0.3453066476
541	0.3450715131
542	0.3448442751
543	0.3446090739
544	0.3444080858
545	0.344188781
546	0.343981027
547	0.3438726824
548	0.3437210099
549	0.343536703
550	0.3433339077
551	0.3431148448
552	0.3428636079
553	0.3426720029
554	0.342517482
555	0.3423053357
556	0.3420797897
557	0.3420035889
558	0.3418732526
559	0.3417120261
560	0.3415306485
561	0.3413995702
562	0.3412396789
563	0.3411246178
564	0.3410123292
565	0.3407709147
566	0.3405075817
567	0.3403344459
568	0.3400847111
569	0.3398511221
570	0.3397196636
571	0.339467023
572	0.3392747391
573	0.3391153055
574	0.33899215
575	0.3388398186
576	0.3386170297
577	0.3384673981
578	0.3382993145
579	0.3380472939
580	0.3379541244
581	0.3377387133
582	0.3375456107
583	0.3373995959
584	0.3372925874
585	0.3371986065
586	0.3371189041
587	0.336883535
588	0.3366844063
589	0.3364454316
590	0.3362955333
591	0.3361504014
592	0.3359994364
593	0.3358489866
594	0.3357175376
595	0.3355870992
596	0.3354109406
597	0.3352605594
598	0.3351075608
599	0.3349366133
600	0.3347356713
601	0.3345947874
602	0.3344815903
603	0.3343009759
604	0.3340722337
605	0.3338931245
606	0.3338541794
607	0.3337392775
608	0.3335327331
609	0.3333559077
610	0.3331463264
611	0.3328780181
612	0.3327392571
613	0.3326756052
614	0.3325335004
615	0.3324238548
616	0.3322779629
617	0.3321163983
618	0.3319774076
619	0.3318062215
620	0.3315596637
621	0.3313701581
622	0.3312177765
623	0.3310377304
624	0.3309300471
625	0.3307813479
626	0.3306127653
627	0.3304612101
628	0.3303529376
629	0.3302616193
630	0.3301486352
631	0.3299424408
632	0.3298075391
633	0.3296373714
634	0.32942967
635	0.329287749
636	0.3291264001
637	0.3289747483
638	0.3288031999
639	0.3286319396
640	0.328459971
641	0.3282580659
642	0.3280801293
643	0.3279322195
644	0.3277646137
645	0.3275662138
646	0.3273842183
647	0.327167013
648	0.3269364887
649	0.3267581024
650	0.3266209561
651	0.3265275459
652	0.326423589
653	0.3262470196
654	0.3262121724
655	0.3259862598
656	0.3258942341
657	0.3257462943
658	0.3255278746
659	0.3253721501
660	0.3252469187
661	0.3250286155
662	0.3248918354
663	0.3247977757
664	0.3246269733
665	0.3244404359
666	0.3243127526
667	0.3242416405
668	0.3241402041
669	0.3239441957
670	0.3237467343
671	0.3235848909
672	0.3234607259
673	0.3233071585
674	0.3230693724
675	0.323001313
676	0.3229443084
677	0.3227650321
678	0.3226036327
679	0.3224279039
680	0.3223290243
681	0.3221361696
682	0.3219868707
683	0.3217906204
684	0.3215908568
685	0.3214270739
686	0.3212560049
687	0.3211286389
688	0.3210010265
689	0.3208775531
690	0.3207840516
691	0.3207157365
692	0.3205471255
693	0.3203661376
694	0.3202083553
695	0.3200033888
696	0.3198213887
697	0.319649906
698	0.3194347993
699	0.3192883466
700	0.3191254066
701	0.3189021439
702	0.318706967
703	0.3185469986
704	0.3183890977
705	0.3181459438
706	0.3180107446
707	0.3178849541
708	0.3177226473
709	0.3176533787
710	0.3175285387
711	0.3173843845
712	0.3172076176
713	0.3170485293
714	0.3169167461
715	0.3168474722
716	0.3168423562
717	0.3166506007
718	0.3166103153
719	0.3164566932
720	0.3161955247
721	0.3160749665
722	0.3158645655
723	0.3157335586
724	0.3155786898
725	0.3154152908
726	0.3153189463
727	0.3151682296
728	0.3149817263
729	0.3147876108
730	0.3146419444
731	0.3144720741
732	0.3143412795
733	0.314162232
734	0.3139762479
735	0.3138893757
736	0.3137011765
737	0.3136142667
738	0.3134851549
739	0.3134784392
740	0.3133589032
741	0.3133210127
742	0.3131399318
743	0.3130279813
744	0.3128498019
745	0.312724602
746	0.3125866133
747	0.3124693895
748	0.3123214723
749	0.3121827648
750	0.3121666009
751	0.3119839914
752	0.3118202711
753	0.3116149293
754	0.3114800457
755	0.311327075
756	0.3113217891
757	0.3111716225
758	0.3110263361
759	0.3107997322
760	0.3106090698
761	0.3104885324
762	0.3103674892
763	0.3101778941
764	0.3100177076
765	0.3098241256
766	0.3096270482
767	0.3095648838
768	0.3093653297
769	0.3092412868
770	0.3090707393
771	0.3089502303
772	0.3088326793
773	0.3087219493
774	0.3086180745
775	0.3084524656
776	0.3083099566
777	0.3081772866
778	0.3079760317
779	0.3078814571
780	0.3077137956
781	0.3075735507
782	0.3073746492
783	0.3071985907
784	0.3070067806
785	0.3068730963
786	0.3067572887
787	0.3066158484
788	0.3065181737
789	0.3063951241
790	0.3062602681
791	0.3060830434
792	0.3059324174
793	0.3057559293
794	0.3056275086
795	0.3054666319
796	0.3053577542
797	0.3052452506
798	0.3051046753
799	0.3049264575
800	0.3047856152
801	0.3046547045
802	0.3045389748
803	0.3044561773
804	0.3042711911
805	0.3041013817
806	0.3039765791
807	0.3038516979
808	0.3036810561
809	0.3035998996
810	0.3034467513
811	0.3033015943
812	0.3031805135
813	0.3030507136
814	0.3029125722
815	0.3028010488
816	0.302669031
817	0.3025630062
818	0.3024124128
819	0.3022607146
820	0.3021025557
821	0.3019778783
822	0.3018380045
823	0.3017146951
824	0.3015734099
825	0.3014655723
826	0.3013576286
827	0.3012698149
828	0.3010894933
829	0.300924421
830	0.3007906552
831	0.3006871535
832	0.3005336074
833	0.3004373961
834	0.3002620772
835	0.3001099316
836	0.2999904407
837	0.2998054751
838	0.2996226707
839	0.2995045242
840	0.299331122
841	0.2991757138
842	0.299057201
843	0.2988710197
844	0.2987935991
845	0.298637286
846	0.2985224978
847	0.2983381225
848	0.2981894056
849	0.2980446948
850	0.2978905556
851	0.2977608306
852	0.2976467157
853	0.2976419762
854	0.2975808584
855	0.2974131737
856	0.2972953968
857	0.297146381
858	0.2970411825
859	0.2969862664
860	0.2968203236
861	0.2966577522
862	0.2965237073
863	0.2963533978
864	0.2961844441
865	0.2961345184
866	0.2959932976
867	0.2958032902
868	0.2956192251
869	0.2955412375
870	0.2954312927
871	0.2952348547
872	0.295231827
873	0.2950438777
874	0.2949120406
875	0.294785471
876	0.2946938643
877	0.2946889169
878	0.294476762
879	0.2943479139
880	0.2942456205
881	0.2942106524
882	0.2940628031
883	0.2939124343
884	0.2938177535
885	0.2936792624
886	0.2936745231
887	0.293558571
888	0.2934048616
889	0.2933872138
890	0.2932712776
891	0.2932669331
892	0.2930893322
893	0.2930626728
894	0.2929285972
895	0.2928063623
896	0.2926711801
897	0.292546712
898	0.2924100637
899	0.292302424
900	0.2922246106
901	0.2920502961
902	0.2918631449
903	0.29165052
904	0.29153937
905	0.2913666072
906	0.2912576299
907	0.2910783829
908	0.2909389889
909	0.290776895
910	0.2907004509
911	0.2904995284
912	0.2903942127
913	0.2902916569
914	0.2901794761
915	0.2900405529
916	0.2898916594
917	0.2898872019
918	0.2897316664
919	0.289598766
920	0.289515915
921	0.289344746
922	0.2891800481
923	0.289028648
924	0.2889124991
925	0.2888240213
926	0.288820053
927	0.2887069757
928	0.2885933955
929	0.2884321585
930	0.2883149533
931	0.2881060962
932	0.2879973913
933	0.2879505288
934	0.2878390622
935	0.2876822946
936	0.2874937631
937	0.2873891093
938	0.2872481991
939	0.2870716155
940	0.2869190176
941	0.2867350248
942	0.2866140055
943	0.2864634823
944	0.2863840751
945	0.2862868154
946	0.2861988554
947	0.2860550969
948	0.2859441644
949	0.2857778751
950	0.2855961867
951	0.285478246
952	0.2853349283
953	0.2852359369
954	0.2850901449
955	0.2849653198
956	0.2848094002
957	0.2847196631
958	0.2845665415
959	0.2844588654
960	0.2843669516
961	0.2842739746
962	0.2841231886
963	0.2840317172
964	0.2838877519
965	0.2837854419
966	0.2837221223
967	0.283552854
968	0.2833724601
969	0.2832608942
970	0.2831040579
971	0.2829839628
972	0.2828652724
973	0.2828620753
974	0.2826601498
975	0.2824989797
976	0.2823020099
977	0.2821714081
978	0.2820949685
979	0.2819925733
980	0.2818621062
981	0.2817746465
982	0.2816081915
983	0.2816049559
984	0.2814995132
985	0.281400513
986	0.2812314799
987	0.2811542595
988	0.2810324124
989	0.2808752223
990	0.2807742754
991	0.2805475162
992	0.2804418987
993	0.2802668463
994	0.2802591344
995	0.28015349
996	0.2800603304
997	0.279870248
998	0.279831922
999	0.2796579077
